AlloCiné ID,IMDb ID,BetaSeries ID,SensCritique ID
174,tt0367424,tarzan,Tarzan/61817
175,tt0348913,deadlikeme,Dead_Like_Me/50830
177,tt0368530,oth,Les_Freres_Scott/358094
179,tt0204993,darkangel,Dark_Angel/1875
181,tt0319969,carnivale,La_Caravane_de_l_etrange/417099
182,tt0106179,xfiles,X_Files_Aux_frontieres_du_reel/62322
184,tt0118254,allymcbeal,Ally_Mc_Beal/185632
185,tt0220178,youngamericans,Young_Americans/64085
187,tt0115320,thepretender,Le_Cameleon/28763
188,tt0289830,taken,Disparition/23082766
198,tt0330251,thelword,The_L_Word/179527
199,tt0386676,theofficeus,The_Office_US/42234
202,tt0324864,kingdomhospital,Kingdom_Hospital/18094
207,tt0361256,wonderfalls,Wonderfalls/159980
209,tt0400037,summerland,Summerland/89234
212,tt0374455,stargateatlantis,Stargate_Atlantis/156188
213,tt0348914,deadwood,Deadwood/68345
218,tt0375355,joey,Joey/276001
220,tt0411011,medicalinvestigation,N_I_H_Alertes_medicales/219408
221,tt0410975,desperatehousewives,Desperate_Housewives/82613
223,tt0411008,lost,Lost_les_disparus/74966
226,tt0402711,bostonlegal,Boston_Justice/99868
227 => 404 AlloCiné id
231,tt0410970,clubhouse,Clubhouse/218379
232,tt0395843,csiny,Les_Experts_Manhattan/127965
235,tt0409594,northshore,North_Shore/48238
238,tt0412142,house,Dr_House/174182
239,tt0412148,theinside,The_Inside_Dans_la_tete_des_tueurs/166767
240 => 404 AlloCiné id
243,tt0412162,kevinhill,Kevin_Hill/234147
245,tt0412253,veronicamars,Veronica_Mars/69625
246,tt0115163,earlyedition,Demain_a_la_Une/98899
248,tt0260596,100-centre-street,100_Centre_Street/239677
249,tt0134247,felicity,Felicity/249698
250,tt0387199,entourage,Entourage/140946
251,tt0389564,the4400,Les_4400/105702
252,tt0381798,rescueme,Rescue_Me_les_heros_du_11_septembre/207420
256,tt0338639,un-dos-tres,Un_dos_tres/204832
257,tt0115369,spincity,Spin_City/206154
259,tt0318997,angelsinamerica,Angels_in_America/104926
261,tt0407362,battlestargalactica,Battlestar_Galactica/168269
262,tt0433309,numb3rs,Numb3rs/263941
263,tt0412175,medium,Medium/240449
264,tt0421316,committed,Marni_et_Nate/252442
265,tt0247119,mysteriousways,Mysterious_Ways_les_chemins_de_l_etrange/3162
269,tt0424609,blindjustice,Blind_Justice/73960
271,tt0415456,jake-in-progress,Jake_in_Progress/7579
272,tt0406429,lawordertrialbyjury,New_York_Cour_de_Justice/231350
274,tt0413573,greysanatomy,Grey_s_Anatomy/277685
277,tt0202198,onceandagain,Deuxieme_chance/235153
278,tt0207919,relichunter,Sydney_Fox_l_aventuriere/111540
279,tt0448303,stacked,Les_Lectures_d_une_Blonde/14646209
281,tt0096684,codequantum,Code_Quantum/2954
282 => 404 AlloCiné id
283,tt0105929,absolutelyfabulous,Absolutely_Fabulous/13473
284,tt0105946,babylon5,Babylon_5/14751
285,tt0106057,loisandclark,Lois_et_Clark_les_Nouvelles_Aventures_de_Superman/66056
286,tt0058855,the-wild-wild-west,Les_Mysteres_de_l_ouest/13931
287,tt0098904,seinfeld,Seinfeld/50829
288,tt0060028,startrek,Star_Trek/227120
289,tt0054518,avengers,Chapeau_melon_et_Bottes_de_cuir/103905
290,tt0096697,simpsons,Les_Simpson/204829
291,tt0066701,thepersuaders,Amicalement_votre/109521
292,tt0071007,littlehouseontheprairie1974,La_Petite_Maison_dans_la_prairie/179803
293,tt0073972,charlies-angels,Droles_de_dames/152926
294,tt0296318,camera-cafe,Camera_Cafe/80907
295,tt0050079,zorro1957,Zorro/130247
296,tt0068093,kung-fu,Kung_Fu/189962
297,tt0055701,thesaint,Le_Saint/254260
298,tt0217224,un-gars-une-fille-france,Un_gars_une_fille/354275
299,tt0077000,dallas,Dallas/49773
300,tt0108717,cadfael,Cadfael/38361
301,tt0072567,starsky-hutch,Starsky_Hutch/143799
302,tt0088583,north-and-south,Nord_et_Sud/180068
303,tt0338608,frank-riva,Frank_Riva/231885
304,tt0092455,startrekthenextgeneration,Star_Trek_La_Nouvelle_Generation/71691
305,tt0112178,startrekvoyager,Star_Trek_Voyager/246
306,tt0185906,bandofbrothers,Freres_d_armes/117662
308,tt1466074,columbo,Columbo/228616
309,tt0061287,theprisoner,Le_Prisonnier/168538
310,tt0112230,xenawarriorprincess,Xena_la_Guerriere/208714
311,tt0092400,marriedwithchildren,Maries_deux_enfants/371124
312,tt0051327,wanted-dead-or-alive,Au_nom_de_la_loi/264220
314,tt0115322,profiler,Profiler/102124
315,tt0080240,magnum,Magnum/68344
316,tt0166036,les-brigades-du-tigre,Les_Brigades_du_Tigre/2280
317,tt0084967,theateam,L_agence_tous_risques/235397
318,tt0098800,thefreshprinceofbelair,Le_Prince_de_Bel_Air/118646
320 => 404 AlloCiné id
321,tt0096542,baywatch,Alerte_a_Malibu/94716
322,tt0423713,plus-belle-la-vie,Plus_belle_la_vie/4770
325,tt0108724,chicago-hope,Chicago_Hope_La_Vie_a_tout_prix/181278
326,tt0103442,highlander,Highlander/383267
327,tt0101120,home-improvement,Papa_bricole/179804
328,tt0078607,the-dukes-of-hazzard,Sherif_fais_moi_peur/47418
329,tt0085029,hardcastle-mccormick,Le_Juge_et_le_pilote/197052
330,tt0103484,madaboutyou,Dingue_de_toi/205091
331 => 404 AlloCiné id
332,tt0085088,scarecrow-and-mrs-king,Les_Deux_font_la_paire/73713
333,tt0105986,diagnostic-meurtre,Diagnostic_Meurtre/39027
334,tt0441059,kaamelott,Kaamelott/10550
335,tt0094511,mission-impossible-20-ans-apres,Mission_Impossible_20_Ans_Apres/73959
336,tt0111999,herculesthelegendaryjourneys,Hercule/362767
337,tt0086789,riptide,Riptide/45768
340,tt0101198,silkstalkings,Les_Dessous_de_Palm_Beach/141736
342,tt0163949,martiallaw,Le_Flic_de_Shanghai/277201
343,tt0096579,familymatters,La_Vie_de_famille/183545
344,tt0061266,ironside,L_Homme_de_fer/19706
345,tt0069599,kojak,Kojak/108484
346,tt0083412,fame,Fame/101377
348,tt0057733,bewitched,Ma_sorciere_bien_aimee/280361
349,tt0108894,partyoffive,La_Vie_a_Cinq/43550
350,tt0086787,punkybrewster,Punky_Brewster/272182
352 => 404 AlloCiné id
353 => 404 AlloCiné id
354 => 404 AlloCiné id
355 => 404 AlloCiné id
356,tt0106080,thenanny,Une_nounou_d_enfer/271440
357,tt0094540,roseanne,Roseanne/208181
358,tt0106145,startrekdeepspacenine,Star_Trek_Deep_Space_Nine/142521
359,tt0098749,beverlyhills90210,Beverly_Hills/209000
360,tt0103491,melroseplace,Melrose_Place/113049
361,tt0077003,diffrent-strokes,Arnold_et_Willy/196791
362,tt0086759,miamivice,Deux_flics_a_Miami/178748
363 => 404 AlloCiné id
364 => 404 AlloCiné id
365,tt0160904,spooks,MI_5/316085
367,tt0083437,knightrider1982,K2000/95006
368,tt0443948,clara-sheller,Clara_Sheller/144281
369,tt0112167,sliders,Sliders_les_mondes_paralleles/66542
370,tt0108800,heartbreakhigh,Hartley_coeurs_a_vif/115113
373,tt0086765,murdershewrote,Arabesque/115374
375,tt0202746,oh-grow-up,Pere_malgre_tout/225879
376,tt0069658,theyoungandtherestless,Les_Feux_de_l_amour/470866
377,tt0092325,the-bold-and-the-beautiful,Amour_Gloire_et_Beaute/475309
378,tt0058796,days-of-our-lives,Des_Jours_et_des_Vies/390168
379 => 404 AlloCiné id
380,tt0092359,fullhouse1999,La_Fete_a_la_maison/261447
381,tt0083399,cheers,Cheers/213196
382,tt0052520,thetwilightzone,La_Quatrieme_Dimension/22894
383,tt0106168,walkertexasranger,Walker_Texas_Ranger/84650
389 => 404 AlloCiné id
390,tt0112111,theouterlimits,Au_dela_du_reel_l_aventure_continue/17829
391,tt0088559,macgyver,Mac_Gyver/274725
392,tt0092312,21jumpstreet,21_Jump_Street/23896
393,tt0078638,knotslanding,Cote_Ouest/105983
394 => 404 AlloCiné id
395 => 404 AlloCiné id
397 => 404 AlloCiné id
398 => 404 AlloCiné id
399 => 404 AlloCiné id
400 => 404 AlloCiné id
401,tt0108988,weirdscience,Code_Lisa/236628
402 => 404 AlloCiné id
403 => 404 AlloCiné id
404,tt0081859,lhomme-qui-tombe-a-pic,L_homme_qui_tombe_a_pic/113564
405 => 404 AlloCiné id
407 => 404 AlloCiné id
408 => 404 AlloCiné id
409 => 404 AlloCiné id
410,tt0075529,theloveboat,La_croisiere_s_amuse/212742
411,tt0088618,street-hawk,Tonnerre_Mecanique/132696
412,tt0120570,from-the-earth-to-the-moon,De_la_Terre_a_la_Lune/203046
413,tt0088571,moonlighting,Clair_de_lune/62054
414,tt0086734,rick-hunter,Rick_Hunter/122424
415,tt0103405,drquinnmedicinewoman,Docteur_Quinn_femme_medecin/59557
418,tt0057790,thunderbirds,Thunderbirds_les_sentinelles_de_l_air/95268
419,tt0434672,thecomeback,Mon_Comeback/175968
421 => 404 AlloCiné id
422,tt0273366,lizziemcguire,Lizzie_Mc_Guire/117198
425,tt0096658,navarro,Navarro/223942
426,tt0460091,mynameisearl,Earl/135367
427,tt0460084,e-ring,D_O_S_Division_des_operations_speciales/105981
428,tt0452718,surface,Surface/107968
430,tt0362192,stateofplay,Jeux_de_pouvoir/264461
433,tt0429455,commanderinchief,Commander_in_Chief/107967
434,tt0460651,invasion,Invasion/96556
435,tt0460665,night-stalker,Night_Stalker_le_guetteur/108485
436,tt0052451,bonanza,Bonanza/13793
437 => 404 AlloCiné id
440,tt0460681,supernatural,Supernatural/136673
442,tt0108872,mysocalledlife,Angela_15_ans/223193
443,tt0452046,criminalminds,Esprits_Criminels/222140
444,tt0460631,closetohome,Close_to_Home_Juste_cause/190225
445,tt0460644,ghostwhisperer,Ghost_Whisperer/49487
446,tt0460649,himym,How_I_Met_Your_Mother/234395
448,tt0460686,threshold,Threshold_Premier_contact/263942
450,tt0460690,theunit,The_Unit_Commando_d_elite/151915
451,tt0455275,prisonbreak,Prison_Break/266186
452,tt0460627,bones,Bones/65587
454,tt0460654,kitchenconfidential,Kitchen_Confidential/163737
455,tt0460672,reunion,Reunion_Destins_Brises/85408
458,tt0460637,everybodyhateschris,Tout_le_monde_deteste_Chris/153653
462,tt0086662,airwolf,Supercopter/21394
463,tt0101205,notrebellefamille,Notre_Belle_Famille/254265
464,tt0420388,dolmen,Dolmen/92514
465,tt0172057,souslesoleilsainttropez,Sous_le_soleil/105700
466,tt0081873,hillstreetblues,Capitaine_Furillo/220880
467,tt0115270,millennium,Millennium/102125
471,tt0111964,thenewadventuresofflipper,Les_Nouvelles_aventures_de_Flipper_le_dauphin/300894
473,tt0320882,matrioshkirussiandollssextrade,Matrioshki_le_trafic_de_la_honte/152656
474,tt0458253,thecloser,The_Closer_L_A_Enquetes_prioritaires/175969
477,tt0115082,3rdrockfromthesun,3eme_planete_apres_le_soleil/128240
479,tt0062568,hawaii-five-o,Hawai_police_d_etat/353709
480,tt0224902,largowinch,Largo_Winch/164511
482,tt0060009,missionimpossible,Mission_Impossible/28762
486,tt0166927,pj,P_J/124696
488,tt0439879,wildfire,Wildfire/199527
491,tt0083483,st-elsewhere,Hopital_St_Elsewhere/115661
492,tt0302103,footballers-wives,Femme_de_footballeurs/263191
493,tt0401995,theworstweekofmylifeuk,La_Pire_Semaine_de_ma_vie/111013
495,tt0457731,samantha-oups,Samantha_Oups/36281
496,tt0411009,laeaparker,Lea_Parker/81868
499,tt0061265,the-invaders,Les_Envahisseurs/9412
501,tt0094525,agatha-christies-poirot,Hercule_Poirot/114556
502,tt0096694,savedbythebell,Sauves_par_le_gong/66060
508,tt0318390,keen-eddie,Keen_Eddie/218882
510,tt0389635,etat-dalerte,Etat_d_alerte/67346
511,tt0289016,wantedus,Wanted/208998
512,tt0185102,queerasfolkuk,Queer_as_Folk_Histoires_gay/147837
513,tt0439100,weeds,Weeds/360380
514,tt0446241,overthere,Over_There/169794
515,tt0445114,extras,Extras/178502
516,tt0461071,beach-girls,Beach_Girls/98901
517,tt0472954,itsalwayssunnyinphiladelphia,Philadelphia/209264
519,tt0364801,la-cite-des-hommes,La_Cite_des_hommes/237423
521,tt0118406,murder-call,Frequence_crime/50107
522,tt0337792,wireintheblood,La_Fureur_dans_le_sang/138423
524,tt0386139,zodiaque,Zodiaque/18851
529,tt0281498,titeuf,Titeuf/115114
532,tt0212395,nowandagain,Un_Agent_Tres_Secret/250951
533,tt0108909,robocop,Robo_Cop/15455
534,tt0108876,new-york-undercover,New_York_Undercover/30268
535,tt0384766,rome,Rome/271673
536,tt0098936,twinpeaks,Twin_Peaks/75730
537,tt0497156,rispolicescientifique,R_I_S_Police_Scientifique/170807
538,tt0477507,engrenages,Engrenages/179256
539,tt0173536,la-crim,La_Crim/37602662
540,tt0309160,groupe-flag,Groupe_Flag/111012
541,tt0428189,elodie-bradford,Elodie_Bradford/81133
542 => 404 AlloCiné id
543,tt0482030,merci-les-enfants-vont-bien,Merci_les_enfants_vont_bien/77951
544,tt0273028,undeclared,Les_Annees_campus/265920
545,tt0429046,les-rois-maudits,Les_Rois_Maudits/16016
546,tt0121955,southpark,South_Park/20258
549,tt0159920,total-recall-2070,Total_Recall_2070/241378
552,tt0115323,profit,Profit/293225
554,tt0094535,reddwarf,Red_Dwarf/148103
557,tt0452909,faites-comme-chez-vous,Faites_comme_chez_vous/193490
561,tt0115277,mr-mrs-smith,Mr_Mrs_Smith/246417
564,tt0290978,theofficeuk,The_Office_UK/114319
566,tt0220238,invisibleman,Invisible_Man/41093942
567,tt0425724,venus-et-apollon,Venus_et_Apollon/35868892
568,tt0115317,poltergeistthelegacy,Poltergeist_Les_Aventuriers_du_surnaturel/41772
569,tt0096635,lifegoeson,Corky_un_adolescent_pas_comme_les_autres/189702
572,tt0370194,reno-911,Reno_911_n_appelez_pas/190730
573,tt0174376,avocats-associes,Avocats_Associes/63087
574,tt0106042,julie-lescaut,Julie_Lescaut/113799
575,tt0056751,doctorwho1963,Doctor_Who/354276
576,tt0166423,commissaire-moulin,Commissaire_Moulin/28244
578,tt0088527,growing-pains,Quoi_de_neuf_docteur/111539
581,tt0172014,josephine-ange-gardien,Josephine_ange_gardien/258122
582,tt0108835,les-cordier-juge-et-flic,Les_Cordier_juge_et_flic/38360
584,tt0486783,commissaire-cordier,Commissaire_Cordier/221370
585,tt0118303,dharmagreg,Dharma_et_Greg/255273
590,tt0300865,thats-so-raven,Phenomene_Raven/204280
592,tt0448190,mastersofhorror,Les_Maitres_de_l_horreur/257588
596,tt0061230,les-chevaliers-du-ciel,Les_Chevaliers_du_Ciel/89949
597,tt0167673,les-nouveaux-chevaliers-du-ciel,Les_Nouveaux_chevaliers_du_ciel/17142604
600,tt0327354,red-cap,Red_Cap_Police_militaire/392820
604,tt0429422,regenesis,Re_Genesis/109751
605,tt0173594,les-rois-maudits-1972,Les_Rois_Maudits/209263
609,tt0288937,degrassithenextgeneration,Degrassi_La_Nouvelle_Generation/241871
613,tt0189392,bigwolfoncampus,Le_loup_Garou_du_campus/204831
615,tt0171998,extreme-limite,Extreme_Limite/241870
617,tt0452573,thetriangle,Triangle/30582
619,tt0168388,thierry-la-fronde,Thierry_la_Fronde/224899
620,tt0268094,specialunit2,Special_Unit_2/213922
621,tt0086793,santa-barbara-1984,Santa_Barbara/249917
625,tt0092319,beauty-and-the-beast-1987,La_Belle_et_la_Bete/6919
626,tt0090390,alf,ALF/46654
627,tt0457541,skyland,Skyland/41738
628,tt0412113,commissaire-valence,Commissaire_Valence/231887
629,tt0193676,freaksandgeeks,Freaks_and_Geeks/219411
636,tt0169504,unefamilleformidable,Une_Famille_formidable/254261
638,tt0088568,misfitsofscience,Superminds/87427
640,tt0315081,trippingtherift,Les_Decales_du_cosmos/3131
641,tt0076984,battlestargalactica1978,Galactica/127193
645,tt0465353,sleepercell,Sleeper_Cell/242917
651,tt0086687,thecosbyshow,Cosby_Show/268453
654,tt0408378,charliejade,Charlie_Jade/91726
657,tt0396997,murder-in-suburbia,Ash_Scribbs/16683
658,tt0098780,dreamon,Dream_On/234396
660,tt0083470,remingtonsteele,Les_Enquetes_de_Remington_Steele/277445
663,tt0460693,whataboutbrian,What_About_Brian/206928
664,tt0447812,le-destin-de-lisa,Le_Destin_de_Lisa/435570
666,tt0167648,marc-et-sophie,Marc_et_Sophie/32088893
667,tt0423646,epitafios,Epitaphes/430903
668,tt0115088,alarm-for-cobra-11,Alerte_Cobra/33946
669,tt0173554,h,H/14623
675 => 404 AlloCiné id
676,tt0380869,the-collector,Le_Messager_des_Tenebres/39962
677,tt0331156,la-vie-devant-nous,La_vie_devant_nous/145053
678,tt0802924,les-secrets-du-volcan,Les_Secrets_du_volcan/155677
679,tt0379632,hustle,Les_Arnaqueurs_VIP/203819
684,tt0759057,lesbleuspremierspasdanslapolice,Les_Bleus_premiers_pas_dans_la_police/98900
685,tt0149460,futurama,Futurama/88444
688,tt0071054,the-six-million-dollar-man,L_Homme_qui_valait_trois_milliards/123431
690,tt0459579,petits-meurtres-en-famille,Petits_meurtres_en_famille/26251815
691,tt0090410,crime-story,Les_incorruptibles_de_Chicago/11790
692,tt0115151,dark-skies,Dark_Skies_l_impossible_verite/230084
694,tt0421030,biglove,Big_Love/145805
697,tt0073965,the-bionic-woman-1976,Super_Jaimie/276981
698,tt0337215,soeur-theresecom,Soeur_Therese_com/229346
701,tt0460626,the-bedford-diaries,The_Bedford_Diaries/175687
704,tt0243069,thelonegunmen,The_Lone_Gunmen_Au_coeur_du_complot/131699
706,tt0369171,stripperella,Stripperella/121393
709,tt0409572,intothewest,Into_The_West/201529
717,tt0165961,sportsnight,Sports_Night/356554
718,tt0372091,seaofsouls,Sea_of_Souls/218381
719,tt0169505,une-femme-dhonneur,Une_femme_d_honneur/252715
720,tt0070992,happy-days,Happy_Days_Les_jours_heureux/280106
725,tt0098888,parkerlewiscantlose,Parker_Lewis_ne_perd_jamais/79438
727,tt0072564,space1999,Cosmos_1999/143800
728,tt0047736,gunsmoke,Gunsmoke/28534
731,tt0213327,andromeda,Andromeda/11442
734,tt0491281,heist,Heist/87429
735,tt0086827,whostheboss,Madame_est_Servie/31975
736,tt0392969,diane-femme-flic,Diane_femme_flic/186379
737,tt0070981,derrick,Inspecteur_Derrick/100630
741,tt0169458,alice-nevers-le-juge-est-une-femme,Le_juge_est_une_femme/224181
747,tt0075488,chips,CHi_Ps/115116
748,tt0047708,alfredhitchcockpresents,Alfred_Hitchcock_Presente/197057
753,tt0310511,pere-et-maire,Pere_et_Maire/228131
754,tt0338411,sauveur-giordano,Sauveur_Giordano/116956
760,tt0108927,sistersister,Sister_Sister/201297
764,tt0182646,albator78,Albator_78/143539
768,tt0478942,lifeonmarsuk,Life_on_Mars/209001
769,tt0493093,hannahmontana,Hannah_Montana/3656
773,tt0106122,saved-by-the-bell-the-college-years,Sauves_par_le_gong_Les_Annees_lycee/83363
776 => 404 AlloCiné id
778,tt0481984,film/60549-la-voie-de-laura,film/La_Voie_de_Laura/40582040
780,tt0063869,the-benny-hill-show,Benny_Hill/32895
781,tt0083433,joanie-loves-chachi,Joanie_Loves_Chachi/25691
782,tt0074028,the-muppet-show,Le_Muppet_Show/183268
784,tt0081856,dynasty,Dynastie/211726
785,tt0074016,laverne-shirley,Laverne_Shirley/113565
787,tt0463261,lebureau,Le_Bureau/163735
788,tt0262150,blackbooks,Black_Books/225131
789,tt0078622,pour-lamour-du-risque,Pour_l_amour_du_risque/185633
790,tt0806905,section-de-recherches,Section_de_Recherches/251933
791,tt0356305,le-tuteur,Le_Tuteur/359591
794,tt0072500,fawltytowers,L_Hotel_en_folie/180071
795,tt0115355,silent-witness,Affaires_non_classees/237421
796,tt0115351,thesentinel,The_Sentinel/229345
798,tt0166420,belphegor-ou-le-fantome-du-louvre,Belphegor_ou_le_Fantome_du_Louvre/373608
801,tt0485842,studio60onthesunsetstrip,Studio_60_on_the_Sunset_Strip/208180
802,tt0115326,psi-factor-chronicles-of-the-paranormal,Psi_Factor/31069
803,tt0115123,burning-zone-menace-imminente,Burning_zone_menace_imminente/70159
805,tt0759482,justice,Justice/170036
806,tt0499591,vanished,Vanished/49287
807,tt0756582,standoff,Standoff_les_negociateurs/78935
808,tt0435937,afterlife,Afterlife/243161
809,tt0105930,acapulcoheat,Agence_Acapulco/331365
812,tt0813715,heroes,Heroes/161270
813,tt0496424,30rock,30_Rock/237914
816,tt0108983,viper,Viper/76969
817,tt0758737,brothersandsisters,Brothers_Sisters/257313
820,tt0805669,uglybetty,Ugly_Betty/111814
822,tt0118298,daria,Daria/68110
823,tt0494287,knightsofprosperity,Les_As_du_braquage/95266
825,tt0801426,thenine,The_Nine_52_heures_en_enfer/54018
830,tt0805663,jericho-2006,Jericho/72169
833,tt0805667,smith,Smith/131939
834,tt0106028,homicide-life-on-the-street,Homicide/68346
836 => 404 AlloCiné id
840,tt0460619,luckylouie,Lucky_Louie/159275
844,tt0756509,kylexy,Kyle_XY/270201
847,tt0491738,psych,Psych_Enqueteur_malgre_lui/279630
848,tt0457229,brotherhood,Brotherhood/91229
849,tt0486657,thedresdenfiles,Enquetes_paralleles/184834
851,tt0412179,le-miroir-de-leau,Le_Miroir_de_l_eau/16327002
853,tt0172009,haelaeneetlesgaracons,Helene_et_les_Garcons/215677
856,tt0237123,couplinguk,Coupling_Six_Sexy/257314
862,tt0096569,doogie-howser-md,Docteur_Doogie/279849
863,tt0182644,terre-indigo,Terre_indigo/22869
864,tt0085101,the-thorn-birds,Les_oiseaux_se_cachent_pour_mourir/105433
865,tt0182597,jalna,Jalna/23536737
866,tt0094582,thewonderyears,Les_Annees_coup_de_coeur/44065
870,tt0188318,boulevard-du-palais,Boulevard_du_Palais/213446
871,tt0096708,talesfromthecrypt,Les_Contes_de_la_Crypte/316087
872,tt0096657,mrbean,Mr_Bean/247935
875,tt0083486,hooker,Hooker/143801
876,tt0796264,eureka,Eureka/202268
879,tt0084988,blackadder,La_Vipere_noire/90445
881,tt0216499,police-district,Police_District/146820
883 => 404 AlloCiné id
884 => 404 AlloCiné id
885 => 404 AlloCiné id
886 => 404 AlloCiné id
887 => 404 AlloCiné id
888 => 404 AlloCiné id
889 => 404 AlloCiné id
890 => 404 AlloCiné id
891 => 404 AlloCiné id
892 => 404 AlloCiné id
893 => 404 AlloCiné id
894 => 404 AlloCiné id
895 => 404 AlloCiné id
896 => 404 AlloCiné id
897 => 404 AlloCiné id
898 => 404 AlloCiné id
899 => 404 AlloCiné id
900 => 404 AlloCiné id
901 => 404 AlloCiné id
902 => 404 AlloCiné id
903 => 404 AlloCiné id
904 => 404 AlloCiné id
905 => 404 AlloCiné id
906 => 404 AlloCiné id
907 => 404 AlloCiné id
908 => 404 AlloCiné id
909 => 404 AlloCiné id
910 => 404 AlloCiné id
911 => 404 AlloCiné id
912 => 404 AlloCiné id
913 => 404 AlloCiné id
914 => 404 AlloCiné id
915 => 404 AlloCiné id
916 => 404 AlloCiné id
917 => 404 AlloCiné id
918 => 404 AlloCiné id
919 => 404 AlloCiné id
